,缺失率,重复率
﻿FN,0.9987951807228915,0.0
VR,0.9987951807228915,0.0
PT,0.0,0.0
AU,0.0,0.0
AF,0.0,0.0
GP,0.8313253012048193,0.0
TI,0.0,0.0
SO,0.0,0.0
SE,0.7626506024096386,0.0
LA,0.0,0.0
DT,0.0,0.0
CT,0.636144578313253,0.0
CY,0.636144578313253,0.0
CL,0.636144578313253,0.0
SP,0.7349397590361446,0.0
DE,0.13253012048192772,0.0
ID,0.28674698795180725,0.0
AB,0.016867469879518072,0.0
C1,0.012048192771084338,0.0
C3,0.046987951807228916,0.0
RP,0.012048192771084338,0.0
CR,0.01566265060240964,0.0
NR,0.0,0.0
TC,0.0,0.0
Z9,0.0,0.0
U1,0.0,0.0
U2,0.0,0.0
PU,0.0,0.0
PI,0.0,0.0
PA,0.0,0.0
SN,0.1746987951807229,0.0
BN,0.6807228915662651,0.0
J9,0.09156626506024096,0.0
PY,0.0,0.0
BP,0.327710843373494,0.0
EP,0.327710843373494,0.0
PG,0.0,0.0
WC,0.0,0.0
WE,0.0,0.0
SC,0.0,0.0
GA,0.0,0.0
UT,0.0,0.0
DA,0.0,0.0
EM,0.0891566265060241,0.0
RI,0.2710843373493976,0.0
OI,0.3060240963855422,0.0
AR,0.7373493975903614,0.0
DI,0.0012048192771084338,0.0
HO,0.9240963855421687,0.0
FU,0.40963855421686746,0.0
FX,0.44216867469879517,0.0
EI,0.39156626506024095,0.0
JI,0.3265060240963855,0.0
PD,0.41445783132530123,0.0
VL,0.22289156626506024,0.0
IS,0.5012048192771085,0.0
BE,0.8409638554216867,0.0
SI,0.9674698795180723,0.0
PM,0.619277108433735,0.0
OA,0.6590361445783133,0.0
EA,0.9072289156626506,0.0
SU,0.9927710843373494,0.0
BA,1.0,0.0
BF,1.0,0.0
PN,0.9795180722891567,0.0
HC,0.9951807228915662,0.0
HP,0.9951807228915662,0.0
FN,1.0,0.0
MA,1.0,0.0
